ID,firstName,lastName,email,department_ID,bonusPercentage
b83443e7-b8d8-46b7-95ec-44013a25de11,Charlotte,Hall,emily.ryan@company.com,124eb0f1-6af0-45e6-b90a-fb6d0296ff0b,0.14
d2fbe407-eaa5-40a6-9539-c7747faa0609,Ethan,Jones,michael.ryan@company.com,dcd78efb-0b9a-4a67-8960-99cc1a49d214,0.13
ffca7313-eaa1-47ab-85a7-235a0845e3a0,Michael,Hall,emily.martin@company.com,124eb0f1-6af0-45e6-b90a-fb6d0296ff0b,0.1
d2bbe982-87c4-48c4-817c-6f852d56ce0c,Ethan,Jones,julian.walker@company.com,dcd78efb-0b9a-4a67-8960-99cc1a49d214,0.14
a71e3f5e-3e71-4a94-9c5c-33bbcfc3b61f,Olivia,Hall,charlotte.walker@company.com,dcd78efb-0b9a-4a67-8960-99cc1a49d214,0.12
4d914948-92fb-49ef-b257-867bbadce66a,Ava,Walker,sophia.ryan@company.com,124eb0f1-6af0-45e6-b90a-fb6d0296ff0b,0.15
d3d7df21-df70-41c0-942f-136cf51b1be7,Olivia,Walker,charlotte.hall@company.com,124eb0f1-6af0-45e6-b90a-fb6d0296ff0b,0.13
d444a521-7d4b-40cf-9221-f655f1f27525,Michael,Thompson,emily.thompson@company.com,124eb0f1-6af0-45e6-b90a-fb6d0296ff0b,0.13
7c0b204e-5551-4ee9-a01a-8c480484ff24,Liam,White,julian.harris@company.com,dcd78efb-0b9a-4a67-8960-99cc1a49d214,0.12
fc0afbb8-ffbc-4f9a-8569-758dae6cf33f,Ava,Thompson,charlotte.white@company.com,dcd78efb-0b9a-4a67-8960-99cc1a49d214,0.11
c9c0ffb3-1db8-40f5-a8e9-5a77806315ef,Michael,Harris,sophia.thompson@company.com,124eb0f1-6af0-45e6-b90a-fb6d0296ff0b,0.1
bcfda618-2a88-432f-b2ff-dc1d2638cbd7,Ava,Walker,michael.ryan@company.com,124eb0f1-6af0-45e6-b90a-fb6d0296ff0b,0.11
57da4f4f-e1ad-43f2-a891-6f7c68eec54b,Liam,Davis,ethan.white@company.com,124eb0f1-6af0-45e6-b90a-fb6d0296ff0b,0.12
43e8688d-cf70-4756-8b1a-5de6291f503c,Olivia,Lee,olivia.hall@company.com,124eb0f1-6af0-45e6-b90a-fb6d0296ff0b,0.14
c1ec8a8d-cbd8-4c88-b581-c351001b67b3,Michael,Harris,julian.lee@company.com,dcd78efb-0b9a-4a67-8960-99cc1a49d214,0.1
ca618a52-8bf0-480d-ae86-c61386ed7ed7,Liam,Lee,ethan.jones@company.com,dcd78efb-0b9a-4a67-8960-99cc1a49d214,0.12
5898706a-b543-45d7-871c-9427d28f52ae,Sophia,Jones,liam.martin@company.com,124eb0f1-6af0-45e6-b90a-fb6d0296ff0b,0.14
fc13864a-eacf-4464-87e9-d5418c9c939a,William,Martin,charlotte.hall@company.com,124eb0f1-6af0-45e6-b90a-fb6d0296ff0b,0.14
053cc85b-66e6-4abb-84a6-08d2bea1f608,Charlotte,Lee,ava.white@company.com,dcd78efb-0b9a-4a67-8960-99cc1a49d214,0.11
c79ae621-f364-4ba8-bfdb-3ad01d5f7ad7,Michael,Martin,olivia.harris@company.com,124eb0f1-6af0-45e6-b90a-fb6d0296ff0b,0.1
